DATE,TIME,実績(万kW)
2015 1 1,0 00,2650
2015 1 1,1 00,2527
2015 1 1,2 00,2427
2015 1 1,3 00,2352
2015 1 1,4 00,2311
2015 1 1,5 00,2313
2015 1 1,6 00,2398
2015 1 1,7 00,2530
2015 1 1,8 00,2669
2015 1 1,9 00,2658
2015 1 1,10 00,2660
2015 1 1,11 00,2707
2015 1 1,12 00,2761
2015 1 1,13 00,2750
2015 1 1,14 00,2728
2015 1 1,15 00,2774
2015 1 1,16 00,2989
2015 1 1,17 00,3256
2015 1 1,18 00,3323
2015 1 1,19 00,3324
2015 1 1,20 00,3320
2015 1 1,21 00,3279
2015 1 1,22 00,3156
2015 1 1,23 00,3030
2015 1 2,0 00,2809
2015 1 2,1 00,2649
2015 1 2,2 00,2545
2015 1 2,3 00,2470
2015 1 2,4 00,2435
2015 1 2,5 00,2476
2015 1 2,6 00,2653
2015 1 2,7 00,2863
2015 1 2,8 00,3082
2015 1 2,9 00,3217
2015 1 2,10 00,3163
2015 1 2,11 00,3038
2015 1 2,12 00,2882
2015 1 2,13 00,2666
2015 1 2,14 00,2609
2015 1 2,15 00,2678
2015 1 2,16 00,2951
2015 1 2,17 00,3289
2015 1 2,18 00,3373
2015 1 2,19 00,3397
2015 1 2,20 00,3386
2015 1 2,21 00,3330
2015 1 2,22 00,3218
2015 1 2,23 00,3096
2015 1 3,0 00,2872
2015 1 3,1 00,2696
2015 1 3,2 00,2583
2015 1 3,3 00,2501
2015 1 3,4 00,2458
2015 1 3,5 00,2497
2015 1 3,6 00,2641
2015 1 3,7 00,2858
2015 1 3,8 00,3057
2015 1 3,9 00,3069
2015 1 3,10 00,2962
2015 1 3,11 00,2842
2015 1 3,12 00,2765
2015 1 3,13 00,2684
2015 1 3,14 00,2652
2015 1 3,15 00,2700
2015 1 3,16 00,2973
2015 1 3,17 00,3339
2015 1 3,18 00,3433
2015 1 3,19 00,3445
2015 1 3,20 00,3433
2015 1 3,21 00,3365
2015 1 3,22 00,3223
2015 1 3,23 00,3081
2015 1 4,0 00,2872
2015 1 4,1 00,2713
2015 1 4,2 00,2602
2015 1 4,3 00,2520
2015 1 4,4 00,2478
2015 1 4,5 00,2528
2015 1 4,6 00,2696
2015 1 4,7 00,2929
2015 1 4,8 00,3250
2015 1 4,9 00,3392
2015 1 4,10 00,3279
2015 1 4,11 00,3098
2015 1 4,12 00,2967
2015 1 4,13 00,2882
2015 1 4,14 00,2823
2015 1 4,15 00,2860
2015 1 4,16 00,3151
2015 1 4,17 00,3553
2015 1 4,18 00,3667
2015 1 4,19 00,3685
2015 1 4,20 00,3650
2015 1 4,21 00,3531
2015 1 4,22 00,3336
2015 1 4,23 00,3141
2015 1 5,0 00,2888
2015 1 5,1 00,2722
2015 1 5,2 00,2630
2015 1 5,3 00,2574
2015 1 5,4 00,2589
2015 1 5,5 00,2787
2015 1 5,6 00,3228
2015 1 5,7 00,3569
2015 1 5,8 00,3815
2015 1 5,9 00,3864
2015 1 5,10 00,3718
2015 1 5,11 00,3614
2015 1 5,12 00,3402
2015 1 5,13 00,3451
2015 1 5,14 00,3413
2015 1 5,15 00,3426
2015 1 5,16 00,3662
2015 1 5,17 00,3920
2015 1 5,18 00,3936
2015 1 5,19 00,3879
2015 1 5,20 00,3801
2015 1 5,21 00,3671
2015 1 5,22 00,3523
2015 1 5,23 00,3280
2015 1 6,0 00,2990
2015 1 6,1 00,2816
2015 1 6,2 00,2722
2015 1 6,3 00,2656
2015 1 6,4 00,2673
2015 1 6,5 00,2829
2015 1 6,6 00,3198
2015 1 6,7 00,3515
2015 1 6,8 00,3834
2015 1 6,9 00,4008
2015 1 6,10 00,3916
2015 1 6,11 00,3762
2015 1 6,12 00,3515
2015 1 6,13 00,3713
2015 1 6,14 00,3761
2015 1 6,15 00,3775
2015 1 6,16 00,3904
2015 1 6,17 00,3991
2015 1 6,18 00,3973
2015 1 6,19 00,3874
2015 1 6,20 00,3777
2015 1 6,21 00,3666
2015 1 6,22 00,3554
2015 1 6,23 00,3334
2015 1 7,0 00,3059
2015 1 7,1 00,2911
2015 1 7,2 00,2827
2015 1 7,3 00,2791
2015 1 7,4 00,2808
2015 1 7,5 00,2989
2015 1 7,6 00,3419
2015 1 7,7 00,3722
2015 1 7,8 00,3996
2015 1 7,9 00,4149
2015 1 7,10 00,4045
2015 1 7,11 00,3933
2015 1 7,12 00,3638
2015 1 7,13 00,3748
2015 1 7,14 00,3711
2015 1 7,15 00,3703
2015 1 7,16 00,3958
2015 1 7,17 00,4230
2015 1 7,18 00,4251
2015 1 7,19 00,4180
2015 1 7,20 00,4083
2015 1 7,21 00,3939
2015 1 7,22 00,3797
2015 1 7,23 00,3562
2015 1 8,0 00,3276
2015 1 8,1 00,3093
2015 1 8,2 00,2976
2015 1 8,3 00,2905
2015 1 8,4 00,2923
2015 1 8,5 00,3109
2015 1 8,6 00,3597
2015 1 8,7 00,3882
2015 1 8,8 00,4006
2015 1 8,9 00,4022
2015 1 8,10 00,3883
2015 1 8,11 00,3783
2015 1 8,12 00,3556
2015 1 8,13 00,3673
2015 1 8,14 00,3638
2015 1 8,15 00,3669
2015 1 8,16 00,3944
2015 1 8,17 00,4251
2015 1 8,18 00,4258
2015 1 8,19 00,4189
2015 1 8,20 00,4086
2015 1 8,21 00,3933
2015 1 8,22 00,3795
2015 1 8,23 00,3572
2015 1 9,0 00,3278
2015 1 9,1 00,3090
2015 1 9,2 00,2991
2015 1 9,3 00,2930
2015 1 9,4 00,2943
2015 1 9,5 00,3133
2015 1 9,6 00,3626
2015 1 9,7 00,3896
2015 1 9,8 00,4030
2015 1 9,9 00,4040
2015 1 9,10 00,3890
2015 1 9,11 00,3789
2015 1 9,12 00,3546
2015 1 9,13 00,3646
2015 1 9,14 00,3618
2015 1 9,15 00,3645
2015 1 9,16 00,3893
2015 1 9,17 00,4185
2015 1 9,18 00,4186
2015 1 9,19 00,4080
2015 1 9,20 00,3975
2015 1 9,21 00,3833
2015 1 9,22 00,3745
2015 1 9,23 00,3558
2015 1 10,0 00,3308
2015 1 10,1 00,3139
2015 1 10,2 00,3005
2015 1 10,3 00,2918
2015 1 10,4 00,2890
2015 1 10,5 00,2966
2015 1 10,6 00,3206
2015 1 10,7 00,3462
2015 1 10,8 00,3692
